DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-19,8:00,6321.55,6428
2023-01-19,9:00,6339.13,6470
2023-01-19,10:00,6305.53,6364
2023-01-19,11:00,6268.79,6314
2023-01-19,12:00,6165.1,6218
2023-01-19,13:00,6133.08,6116
2023-01-19,14:00,6023.1,6025
2023-01-19,15:00,6106.04,6041
2023-01-19,16:00,6570.91,6384
2023-01-19,17:00,6744.42,6603
2023-01-19,18:00,6760.43,6732
2023-01-19,19:00,6658.06,6674
2023-01-19,20:00,6548.08,6506
2023-01-19,21:00,6331.78,6335
2023-01-19,22:00,6179.01,6276
2023-01-19,23:00,6095.81,6163
2023-01-20,0:00,6034.91,6169
2023-01-20,1:00,5687.9,5768
2023-01-20,2:00,5287.6,5384
2023-01-20,3:00,5023.27,5096
2023-01-20,4:00,4911.19,4961
2023-01-20,5:00,4973.92,4974
2023-01-20,6:00,5234.84,5167
2023-01-20,7:00,5562.69,5528
2023-01-20,8:00,5877.41,5875
2023-01-20,9:00,6097.64,6137
2023-01-20,10:00,6156.7,6212
2023-01-20,11:00,6195.29,6234
2023-01-20,12:00,6178.75,6159
2023-01-20,13:00,6125.99,6010
2023-01-20,14:00,6027.82,5792
2023-01-20,15:00,6095.02,5692
2023-01-20,16:00,6498.2,5892
2023-01-20,17:00,6679.58,6183
2023-01-20,18:00,6648.61,6166
2023-01-20,19:00,6579.31,6048
2023-01-20,20:00,6441.5,5990
2023-01-20,21:00,6273.25,5926
